"Name","Korean","English","Japanese","SimplifiedChinese","Spanish","Russian","PortugueseBrazil","German","French","Polish","TraditionalChinese","Turkish"
"Product./Game/Pandora/Data/DA_Pandora_NineTailedFox.DA_Pandora_NineTailedFox.Description","동방 신전의 폐허에서 온 교활한 판도라. 오래된 소문과 거짓 미소, 아름다운 거짓말에 싸여 있습니다.","A cunning Pandora from the eastern shrine ruins, wrapped in old rumors, false smiles, and beautiful lies.","東方の神殿跡から来た狡猾なパンドラ。古い噂、偽りの笑み、美しい嘘に包まれています。","来自东方神殿废墟的狡黠潘多拉，缠绕着古老传闻、虚假微笑与美丽谎言。","Una Pandora astuta de las ruinas de un santuario oriental, envuelta en viejos rumores, sonrisas falsas y bellas mentiras.","Хитрая Пандора из руин восточного святилища, окутанная старыми слухами, ложными улыбками и красивой ложью.","Uma Pandora astuta das ruínas de um santuário oriental, envolta em velhos rumores, sorrisos falsos e belas mentiras.","Eine listige Pandora aus östlichen Schreinruinen, umhüllt von alten Gerüchten, falschem Lächeln und schönen Lügen.","Une Pandora rusée des ruines d’un sanctuaire oriental, enveloppée de vieilles rumeurs, de faux sourires et de beaux mensonges.","Przebiegła Pandora z ruin wschodniej świątyni, otulona plotkami, fałszywymi uśmiechami i pięknymi kłamstwami.","來自東方神殿廢墟的狡黠潘朵拉，纏繞著古老傳聞、虛假微笑與美麗謊言。","Doğudaki tapınak harabelerinden gelen kurnaz bir Pandora. Eski söylentilere, sahte gülümsemelere ve güzel yalanlara bürünmüştür."
"Product./Game/Pandora/Data/DA_Pandora_Sand.DA_Pandora_Sand.Name","모래","Sand","砂","沙","Arena","Песок","Areia","Sand","Sable","Piasek","沙","Kum"
"Product./Game/Pandora/Data/DA_Pandora_Sand.DA_Pandora_Sand.Description","라가 사막의 끝에 남긴 황금빛 판도라. 끊임없이 흘러내리면서도 길 잃은 이를 앞으로 이끌어 줍니다.","A golden Pandora left by Ra at the edge of the desert, always slipping away yet somehow leading the lost forward.","ラーが砂漠の果てに残した黄金のパンドラ。常にすり抜けながらも、迷える者を先へ導きます。","拉在沙漠边缘留下的金色潘多拉，总在流逝，却又引领迷途者前进。","Una Pandora dorada que Ra dejó al borde del desierto, siempre escurridiza, pero capaz de guiar a los perdidos.","Золотая Пандора, оставленная Ра на краю пустыни. Она ускользает, но всё же ведёт заблудших вперёд.","Uma Pandora dourada deixada por Ra na borda do deserto, sempre escapando, mas guiando os perdidos adiante.","Eine goldene Pandora, von Ra am Wüstenrand hinterlassen, stets entgleitend und doch den Verirrten den Weg weisend.","Une Pandora dorée laissée par Ra au bord du désert, toujours fuyante mais guidant les égarés vers l’avant.","Złota Pandora pozostawiona przez Ra na skraju pustyni, stale się wymykająca, lecz prowadząca zagubionych naprzód.","拉在沙漠邊緣留下的金色潘朵拉，總在流逝，卻又引領迷途者前進。","Ra’nın çölün kıyısında bıraktığı altın bir Pandora. Hep kayıp gitse de yolunu kaybedenlere yön gösterir."
"Product./Game/Pandora/Data/DA_Pandora_Split.DA_Pandora_Split.Name","분열","Split","分裂","分裂","División","Разделение","Divisão","Spaltung","Scission","Rozszczepienie","分裂","Bölünme"
"Product./Game/Pandora/Data/DA_Pandora_Split.DA_Pandora_Split.Description","디세시오와 연결된 분열된 판도라. 조각난 채 살아남는 법을 배운 정신의 조용한 공포를 품고 있습니다.","A divided Pandora tied to Discesio, carrying the quiet terror of a mind that learned to survive in pieces.","ディセシオに結びつく分かたれたパンドラ。砕けたまま生き延びる術を覚えた心の静かな恐怖を宿しています。","与迪塞西奥相连的分裂潘多拉，承载着学会以碎片存活的心灵那无声的恐惧。","Una Pandora dividida ligada a Discesio, con el terror silencioso de una mente que aprendió a sobrevivir en fragmentos.","Разделённая Пандора Дисцесио, несущая тихий ужас разума, научившегося выживать по частям.","Uma Pandora dividida ligada a Discesio, com o terror silencioso de uma mente que aprendeu a sobreviver em pedaços.","Eine gespaltene Pandora, verbunden mit Discesio, erfüllt vom stillen Schrecken eines Geistes, der in Stücken zu überleben lernte.","Une Pandora divisée liée à Discesio, portant la terreur silencieuse d’un esprit ayant appris à survivre en morceaux.","Rozszczepiona Pandora związana z Discesio, niosąca cichy lęk umysłu, który nauczył się przeżyć w kawałkach.","與迪塞西奧相連的分裂潘朵拉，承載著學會以碎片存活的心靈那無聲的恐懼。","Discesio’ya bağlı bölünmüş bir Pandora. Parçalar hâlinde yaşamayı öğrenen bir zihnin sessiz dehşetini taşır."
"Product./Game/Pandora/Data/DA_Pandora_Steel.DA_Pandora_Steel.Name","강철","Steel","鋼","钢铁","Acero","Сталь","Aço","Stahl","Acier","Stal","鋼鐵","Çelik"
"Product./Game/Pandora/Data/DA_Pandora_Steel.DA_Pandora_Steel.Description","백호 전사들의 의지와 끝없이 부서지는 칼날 소리 속에서 단련된 굳센 판도라입니다.","A hardened Pandora forged from the will of White Tiger warriors and the endless sound of blades breaking.","白虎の戦士たちの意志と、絶え間なく砕ける刃の音から鍛えられた硬きパンドラです。","由白虎战士的意志与刀刃不断碎裂之声锻造的坚硬潘多拉。","Una Pandora endurecida forjada con la voluntad de los guerreros del Tigre Blanco y el incesante sonido de hojas rotas.","Закалённая Пандора, выкованная из воли воинов Белого тигра и бесконечного звона ломающихся клинков.","Uma Pandora endurecida, forjada da vontade dos guerreiros do Tigre Branco e do som incessante de lâminas se partindo.","Eine gehärtete Pandora, geschmiedet aus dem Willen der Krieger des Weißen Tigers und dem endlosen Klang brechender Klingen.","Une Pandora endurcie forgée par la volonté des guerriers du Tigre blanc et le fracas sans fin des lames brisées.","Twarda Pandora wykuta z woli wojowników Białego Tygrysa i nieustannego dźwięku pękających ostrzy.","由白虎戰士的意志與刀刃不斷碎裂之聲鍛造的堅硬潘朵拉。","Beyaz Kaplan savaşçılarının iradesinden ve kırılan kılıçların bitmeyen sesinden dövülmüş sert bir Pandora."
"Product./Game/Pandora/Data/DA_Pandora_Teleport.DA_Pandora_Teleport.Name","순간이동","Teleport","瞬間移動","瞬间移动","Teletransporte","Телепортация","Teletransporte","Teleportation","Téléportation","Teleportacja","瞬間移動","Işınlanma"
"Product./Game/Pandora/Data/DA_Pandora_Teleport.DA_Pandora_Teleport.Description","디바인의 도주 경로에 흩어진, 제자리를 벗어난 판도라. 그곳에서는 그림자가 몸보다 먼저 도착한다고 합니다.","A displaced Pandora scattered along Divine’s path of escape, where shadows are said to arrive before their bodies.","ディヴァインの逃走路に散った、居場所を失ったパンドラ。そこでは影が体より先に着くといいます。","散落于迪瓦因逃亡路线上的移位潘多拉，据说那里影子会先于身体抵达。","Una Pandora desplazada dispersa por la ruta de huida de Divine, donde las sombras llegan antes que los cuerpos.","Смещённая Пандора, рассеянная по пути бегства Дивайна, где тени, говорят, прибывают раньше тел.","Uma Pandora deslocada espalhada pelo caminho de fuga de Divine, onde dizem que as sombras chegam antes dos corpos.","Eine versetzte Pandora entlang Divines Fluchtweg, wo Schatten angeblich vor ihren Körpern eintreffen.","Une Pandora déplacée dispersée sur la route de fuite de Divine, où les ombres arriveraient avant les corps.","Przemieszczona Pandora rozproszona na drodze ucieczki Divine’a, gdzie cienie podobno przybywają przed ciałami.","散落於迪瓦因逃亡路線上的移位潘朵拉，據說那裡影子會先於身體抵達。","Divine’ın kaçış yoluna saçılmış, yerinden kopmuş bir Pandora. Orada gölgelerin bedenlerinden önce vardığı söylenir."
"Product./Game/Pandora/Data/DA_Pandora_TwinHeart.DA_Pandora_TwinHeart.Name","쌍둥이 심장","Twin Heart","双子の心臓","双生之心","Corazón Gemelo","Двойное сердце","Coração Gêmeo","Zwillingsherz","Cœur jumeau","Bliźniacze Serce","雙生之心","İkiz Kalp"
"Product./Game/Pandora/Data/DA_Pandora_TwinHeart.DA_Pandora_TwinHeart.Description","서로 다른 두 소울 더스트가 하나의 생명에 응답하며 태어난 희귀한 판도라. 어느 쪽도 선명히 기억하지 못하는 약속으로 고동칩니다.","A rare Pandora born when two different soul-dusts answered the same life, beating with a promise neither remembers clearly.","異なる二つのソウルダストが一つの命に応えて生まれた希少なパンドラ。どちらも明確に覚えていない約束に鼓動します。","两种不同灵魂尘埃回应同一生命时诞生的稀有潘多拉，为双方都记不清的约定而跳动。","Una Pandora rara nacida cuando dos polvos de alma respondieron a una misma vida, latiendo con una promesa que ninguno recuerda bien.","Редкая Пандора, рождённая откликом двух разных пылинок душ на одну жизнь. Она бьётся обещанием, которого ни одна ясно не помнит.","Uma Pandora rara nascida quando duas poeiras de alma responderam à mesma vida, pulsando com uma promessa que nenhuma lembra claramente.","Eine seltene Pandora, entstanden, als zwei verschiedene Seelenstäube demselben Leben antworteten, pulsierend mit einem kaum erinnerten Versprechen.","Une rare Pandora née lorsque deux poussières d’âme répondirent à une même vie, vibrant d’une promesse qu’aucune ne se rappelle clairement.","Rzadka Pandora zrodzona, gdy dwa różne pyły dusz odpowiedziały jednemu życiu, bijąca obietnicą, której żaden dobrze nie pamięta.","兩種不同靈魂塵埃回應同一生命時誕生的稀有潘朵拉，為雙方都記不清的約定而跳動。","İki farklı ruh tozunun aynı yaşama yanıt vermesiyle doğan nadir bir Pandora. İkisinin de tam hatırlamadığı bir sözle atar."
"Product./Game/Pandora/Data/DA_Pandora_Wave.DA_Pandora_Wave.Name","파도","Wave","波","波涛","Ola","Волна","Onda","Welle","Vague","Fala","波濤","Dalga"
"Product./Game/Pandora/Data/DA_Pandora_Wave.DA_Pandora_Wave.Description","아쿠아의 바다 기억을 품고 흐르는 판도라. 그 기억 속에서는 가라앉은 도시와 먼 항구들이 여전히 밀물 아래에서 노래합니다.","A flowing Pandora carrying Aqua’s ocean memory, where drowned cities and distant harbors still sing beneath the tide.","アクアの海の記憶を宿す流れるパンドラ。沈んだ都市や遠い港が今も潮の下で歌っています。","流动的潘多拉，承载阿夸的海洋记忆，沉没的城市与远方港口仍在潮下歌唱。","Una Pandora fluida con la memoria oceánica de Aqua, donde ciudades sumergidas y puertos lejanos aún cantan bajo la marea.","Текучая Пандора с памятью океана Аквы, где затонувшие города и далёкие гавани всё ещё поют под приливом.","Uma Pandora fluida com a memória oceânica de Aqua, onde cidades afundadas e portos distantes ainda cantam sob a maré.","Eine fließende Pandora mit Aquas Meeresgedächtnis, in dem versunkene Städte und ferne Häfen noch unter den Gezeiten singen.","Une Pandora fluide portant la mémoire marine d’Aqua, où cités englouties et ports lointains chantent encore sous la marée.","Płynąca Pandora z pamięcią oceanu Aquy, gdzie zatopione miasta i odległe porty wciąż śpiewają pod przypływem.","流動的潘朵拉，承載阿夸的海洋記憶，沉沒的城市與遠方港口仍在潮下歌唱。","Aqua’nın okyanus anılarını taşıyan akışkan bir Pandora. Batık şehirler ve uzak limanlar gelgitin altında hâlâ şarkı söyler."
"Product./Game/Pandora/Data/DA_Pandora_Wind.DA_Pandora_Wind.Name","바람","Wind","風","风","Viento","Ветер","Vento","Wind","Vent","Wiatr","風","Rüzgâr"
"Product./Game/Pandora/Data/DA_Pandora_Wind.DA_Pandora_Wind.Description","듄과 사티에르의 길 위에 남겨진 방랑하는 판도라. 한곳에 머무르지 않지만 언제나 다음 방향을 알고 있습니다.","A wandering Pandora left on the roads of Dune and Satier, never staying still yet always knowing the next direction.","デューンとサティエルの道に残された放浪のパンドラ。留まることなく、常に次の行き先を知っています。","遗留在杜恩与萨提耶道路上的流浪潘多拉，从不停歇，却总知道下一个方向。","Una Pandora errante dejada en los caminos de Dune y Satier, siempre en movimiento y conocedora del siguiente rumbo.","Странствующая Пандора на дорогах Дюна и Сатьера: не стоит на месте, но всегда знает следующий путь.","Uma Pandora errante deixada nas estradas de Dune e Satier, nunca parada, mas sempre sabendo a próxima direção.","Eine wandernde Pandora auf den Straßen von Dune und Satier, nie still und doch stets des nächsten Weges gewiss.","Une Pandora vagabonde laissée sur les routes de Dune et Satier, toujours en mouvement mais sachant où aller ensuite.","Wędrowna Pandora z dróg Dune’a i Satiera, nigdy nieruchoma, lecz zawsze znająca dalszy kierunek.","遺留在杜恩與薩提耶道路上的流浪潘朵拉，從不停歇，卻總知道下一個方向。","Dune ve Satier’in yollarında bırakılmış gezgin bir Pandora. Hiç durmaz ama sonraki yönünü daima bilir."
"Product./Game/Pandora/Data/DA_Pandora_Zombie.DA_Pandora_Zombie.Name","좀비","Zombie","ゾンビ","僵尸","Zombi","Зомби","Zumbi","Zombie","Zombie","Zombie","殭屍","Zombi"
"Product./Game/Pandora/Data/DA_Pandora_Zombie.DA_Pandora_Zombie.Description","쓰러진 판도라즈가 소울 더스트로 온전히 돌아가지 못하며 생겨난 부자연스러운 판도라. 움직임을 향한 갈망만 남아 있습니다.","An unnatural Pandora formed when a fallen Pandoraz failed to return fully to soul-dust, leaving behind a hunger for motion.","倒れたパンドラズが完全にソウルダストへ還れずに生まれた不自然なパンドラ。動きへの渇望が残っています。","倒下的潘多拉兹未能完全回归灵魂尘埃时形成的异常潘多拉，残留着对行动的饥渴。","Una Pandora antinatural formada cuando un Pandoraz caído no logró volver por completo al polvo de alma, dejando ansias de movimiento.","Противоестественная Пандора, возникшая, когда павший Пандораз не полностью вернулся в пыль душ, оставив жажду движения.","Uma Pandora antinatural formada quando um Pandoraz caído não voltou totalmente à poeira de alma, deixando uma fome de movimento.","Eine unnatürliche Pandora, entstanden, als ein gefallener Pandoraz nicht ganz zu Seelenstaub wurde und einen Hunger nach Bewegung hinterließ.","Une Pandora contre nature formée lorsqu’un Pandoraz déchu ne redevint pas entièrement poussière d’âme, laissant une faim de mouvement.","Nienaturalna Pandora powstała, gdy poległy Pandoraz nie wrócił w pełni do pyłu dusz, pozostawiając głód ruchu.","倒下的潘朵拉茲未能完全回歸靈魂塵埃時形成的異常潘朵拉，殘留著對行動的飢渴。","Düşmüş bir Pandoraz tamamen ruh tozuna dönemediğinde oluşan doğaya aykırı bir Pandora. Ardında hareket açlığı bırakır."
"Product./Game/Skin/Pet/DA_Ghost.DA_Ghost.Name","유령 펫","Ghost Pet","ゴーストペット","幽灵宠物","Mascota fantasma","Призрачный питомец","Mascote fantasma","Geisterbegleiter","Compagnon fantôme","Duchowy pupil","幽靈寵物","Hayalet evcil hayvan"
"Product./Game/Skin/Pet/DA_Ghost.DA_Ghost.Description","낡은 망토를 걸치고 신비한 등불을 든 작은 유령 동료입니다. 기묘하고 조용하지만 묘한 매력이 있습니다.","A small ghostly companion wearing a worn cloak and carrying a mysterious lantern. Strange, quiet, and oddly charming.","古びたマントをまとい、不思議なランタンを持つ小さな幽霊の仲間。奇妙で静かですが、不思議な魅力があります。","披着破旧斗篷、提着神秘灯笼的小幽灵伙伴。古怪、安静，却意外地迷人。","Un pequeño compañero fantasma con capa gastada y una linterna misteriosa. Extraño, callado y curiosamente encantador.","Маленький призрачный спутник в потёртом плаще с загадочным фонарём. Странный, тихий и удивительно обаятельный.","Um pequeno companheiro fantasma com capa gasta e uma lanterna misteriosa. Estranho, quieto e curiosamente encantador.","Ein kleiner Geisterbegleiter mit abgetragenem Umhang und geheimnisvoller Laterne. Seltsam, still und eigenartig charmant.","Un petit compagnon fantôme vêtu d’une cape usée et portant une lanterne mystérieuse. Étrange, discret et curieusement charmant.","Mały duchowy towarzysz w znoszonym płaszczu z tajemniczą latarnią. Dziwny, cichy i osobliwie uroczy.","披著破舊斗篷、提著神祕燈籠的小幽靈夥伴。古怪、安靜，卻意外地迷人。","Yıpranmış bir pelerin giyen ve gizemli bir fener taşıyan küçük hayalet dost. Tuhaf, sessiz ve garip biçimde sevimli."
"Product./Game/Skin/Gesture/DA_TwistDance.DA_TwistDance.Name","트위스트 댄스","Twist Dance","ツイストダンス","扭扭舞","Baile twist","Твист","Dança twist","Twist","Twist","Twist","扭扭舞","Twist dansı"
"Product./Game/Skin/Gesture/DA_TwistDance.DA_TwistDance.Description","어둡고 낡은 느낌의 오래된 뾰족 마법사 모자입니다. 캐릭터에게 신비로운 마법의 분위기를 더합니다.","An old pointed wizard hat with a dark, worn look. It adds a mysterious magical atmosphere to the character.","暗く使い古された見た目の、とんがった古い魔法使いの帽子。神秘的な魔法の雰囲気を添えます。","一顶深色、陈旧的尖顶巫师帽，为角色增添神秘的魔法气息。","Un viejo sombrero de mago puntiagudo, oscuro y gastado. Añade al personaje un aire mágico y misterioso.","Старая остроконечная шляпа волшебника, тёмная и потёртая. Придаёт персонажу загадочный магический облик.","Um velho chapéu pontudo de mago, escuro e gasto. Acrescenta uma atmosfera mágica e misteriosa ao personagem.","Ein alter, spitzer Zauberhut mit dunklem, abgetragenem Aussehen. Er verleiht der Figur eine geheimnisvolle magische Aura.","Un vieux chapeau de sorcier pointu, sombre et usé. Il donne au personnage une aura magique et mystérieuse.","Stary spiczasty kapelusz czarodzieja o ciemnym, znoszonym wyglądzie. Nadaje postaci tajemniczą, magiczną aurę.","一頂深色、陳舊的尖頂巫師帽，為角色增添神祕的魔法氣息。","Koyu ve yıpranmış görünümlü eski, sivri bir büyücü şapkası. Karaktere gizemli bir büyü havası katar."
"Product./Game/Skin/Gesture/DA_SwingDancing.DA_SwingDancing.Name","스윙 댄스","Swing Dancing","スウィングダンス","摇摆舞","Baile swing","Свинг","Dança swing","Swingtanz","Swing","Swing","搖擺舞","Swing dansı"
"Product./Game/Skin/Gesture/DA_SwingDancing.DA_SwingDancing.Description","크고 활기찬 동작이 특징인 신나는 댄스 감정 표현입니다. 즐거움과 장난기 넘치는 에너지를 보여 주기에 좋습니다.","A cheerful dance emote with wide, lively movements. Great for showing excitement and playful energy.","大きく生き生きと動く陽気なダンスエモート。喜びや遊び心いっぱいの元気を表すのにぴったりです。","动作舒展而活泼的欢快舞蹈表情，适合表现兴奋与俏皮活力。","Un gesto de baile alegre con movimientos amplios y vivos. Ideal para mostrar entusiasmo y energía juguetona.","Весёлый танцевальный жест с широкими и живыми движениями. Отлично передаёт радость и игривую энергию.","Um gesto de dança alegre com movimentos amplos e vivos. Ótimo para mostrar empolgação e energia brincalhona.","Ein fröhliches Tanz-Emote mit weiten, lebhaften Bewegungen. Ideal für Begeisterung und verspielte Energie.","Une emote de danse joyeuse aux mouvements amples et vifs, parfaite pour exprimer enthousiasme et bonne humeur.","Radosna emotka taneczna z szerokimi, żywymi ruchami. Świetnie wyraża ekscytację i figlarną energię.","動作舒展而活潑的歡快舞蹈表情，適合表現興奮與俏皮活力。","Geniş ve canlı hareketlerle neşeli bir dans ifadesi. Heyecanı ve oyuncu enerjiyi göstermek için idealdir."
"Product./Game/Skin/Gesture/DA_Praying.DA_Praying.Name","기도","Praying","祈り","祈祷","Oración","Молитва","Oração","Gebet","Prière","Modlitwa","祈禱","Dua"
"Product./Game/Skin/Gesture/DA_Praying.DA_Praying.Description","캐릭터가 두 손을 모아 기도하는 차분한 감정 표현입니다. 희망이나 감사, 간절한 부탁을 나타낼 수 있습니다.","A calm emote where the character clasps their hands in prayer. It can express hope, gratitude, or a dramatic plea.","キャラクターが手を合わせて祈る穏やかなエモート。希望、感謝、切実な願いを表せます。","角色双手合十祈祷的平静表情，可表达希望、感谢或恳切的请求。","Un gesto tranquilo en el que el personaje junta las manos para rezar. Expresa esperanza, gratitud o una súplica dramática.","Спокойный жест молитвы со сложенными руками. Выражает надежду, благодарность или отчаянную просьбу.","Um gesto calmo em que o personagem une as mãos para orar. Pode expressar esperança, gratidão ou um pedido dramático.","Ein ruhiges Emote, bei dem die Figur die Hände zum Gebet faltet. Es drückt Hoffnung, Dankbarkeit oder eine eindringliche Bitte aus.","Une emote paisible où le personnage joint les mains pour prier. Elle exprime espoir, gratitude ou supplication théâtrale.","Spokojna emotka, w której postać składa ręce do modlitwy. Wyraża nadzieję, wdzięczność lub dramatyczną prośbę.","角色雙手合十祈禱的平靜表情，可表達希望、感謝或懇切的請求。","Karakterin ellerini birleştirip dua ettiği sakin bir ifade. Umut, minnettarlık veya dramatik bir yakarış anlatabilir."
"Product./Game/Skin/Gesture/DA_LowCrawl.DA_LowCrawl.Name","낮은 포복","LowCrawl","ほふく前進","低姿匍匐","Reptar","Ползком","Rastejar","Robben","Ramper","Czołganie","低姿匍匐","Sürünme"
"Product./Game/Skin/Gesture/DA_LowCrawl.DA_LowCrawl.Description","캐릭터가 지면에 바짝 붙어 움직이는 포복 감정 표현입니다. 익살스럽거나 은밀하고 극적인 역할극에 어울립니다.","A crawling emote where the character moves close to the ground. Useful for funny, sneaky, or dramatic roleplay moments.","キャラクターが地面すれすれを進むエモート。おかしな場面、隠密行動、劇的なロールプレイに合います。","角色贴近地面爬行的表情，适合搞笑、潜行或戏剧性的角色扮演。","Un gesto de reptar pegado al suelo. Útil para momentos de interpretación divertidos, sigilosos o dramáticos.","Жест ползания у самой земли. Подходит для смешных, скрытных или драматичных ролевых сцен.","Um gesto de rastejar bem perto do chão. Ideal para momentos engraçados, furtivos ou dramáticos de interpretação.","Ein Kriech-Emote, bei dem sich die Figur dicht am Boden bewegt. Passend für lustige, heimliche oder dramatische Rollenspielszenen.","Une emote où le personnage rampe au ras du sol. Idéale pour des scènes drôles, furtives ou dramatiques.","Emotka czołgania tuż przy ziemi. Przydatna w zabawnych, skrytych lub dramatycznych scenach odgrywania ról.","角色貼近地面爬行的表情，適合搞笑、潛行或戲劇性的角色扮演。","Karakterin yere yakın hareket ettiği bir sürünme ifadesi. Komik, gizli veya dramatik rol yapma anlarına uygundur."
"Product./Game/Skin/Gesture/DA_HandRaising.DA_HandRaising.Name","손들기","Hand Raising","挙手","举手","Levantar la mano","Поднять руку","Levantar a mão","Handheben","Lever la main","Podniesienie ręki","舉手","El kaldırma"
"Product./Game/Skin/Gesture/DA_HandRaising.DA_HandRaising.Description","캐릭터가 한 손을 높이 드는 몸짓입니다. 축하하거나 다른 이에게 신호를 보내고 시선을 끌 때 사용할 수 있습니다.","A gesture where the character raises one hand high. It can be used to celebrate, signal others, or draw attention.","キャラクターが片手を高く上げるジェスチャー。お祝い、仲間への合図、注目を集める場面に使えます。","角色高举一只手的动作，可用于庆祝、向他人示意或吸引注意。","Un gesto en el que el personaje levanta una mano. Sirve para celebrar, hacer señales o llamar la atención.","Жест, при котором персонаж высоко поднимает руку. Подходит для празднования, подачи сигнала или привлечения внимания.","Um gesto em que o personagem ergue uma mão. Pode comemorar, sinalizar aos outros ou chamar atenção.","Eine Geste, bei der die Figur eine Hand hochhebt. Zum Feiern, für Signale oder um Aufmerksamkeit zu erregen.","Un geste où le personnage lève une main bien haut, pour célébrer, faire signe ou attirer l’attention.","Gest, w którym postać unosi wysoko rękę. Służy do świętowania, sygnalizowania lub przyciągania uwagi.","角色高舉一隻手的動作，可用於慶祝、向他人示意或吸引注意。","Karakterin bir elini yükseğe kaldırdığı hareket. Kutlamak, başkalarına işaret vermek veya dikkat çekmek için kullanılabilir."
"Product./Game/Skin/Gesture/DA_GuitarPlaying.DA_GuitarPlaying.Name","기타 연주","Guitar Playing","ギター演奏","弹吉他","Tocar la guitarra","Игра на гитаре","Tocar guitarra","Gitarre spielen","Jouer de la guitare","Gra na gitarze","彈吉他","Gitar çalma"
"Product./Game/Skin/Gesture/DA_GuitarPlaying.DA_GuitarPlaying.Description","캐릭터가 기타를 연주하는 음악 감정 표현입니다. 전투 사이에 편안하고 유쾌한 분위기를 더하기 좋습니다.","A musical emote where the character plays a guitar. Perfect for adding a relaxed, playful mood between battles.","キャラクターがギターを弾く音楽エモート。戦いの合間に、のんびり楽しい雰囲気を添えられます。","角色弹奏吉他的音乐表情，适合在战斗间隙增添轻松愉快的气氛。","Un gesto musical en el que el personaje toca la guitarra. Perfecto para relajarse y divertirse entre batallas.","Музыкальный жест игры на гитаре. Создаёт непринуждённое и весёлое настроение между боями.","Um gesto musical em que o personagem toca guitarra. Perfeito para um clima descontraído e divertido entre batalhas.","Ein musikalisches Emote, bei dem die Figur Gitarre spielt. Perfekt für entspannte, verspielte Stimmung zwischen Kämpfen.","Une emote musicale où le personnage joue de la guitare, idéale pour une ambiance détendue et joyeuse entre les combats.","Muzyczna emotka, w której postać gra na gitarze. Tworzy swobodny, radosny nastrój między bitwami.","角色彈奏吉他的音樂表情，適合在戰鬥間隙增添輕鬆愉快的氣氛。","Karakterin gitar çaldığı müzikli bir ifade. Savaşlar arasında rahat ve eğlenceli bir hava katmak için idealdir."
"Product./Game/Skin/Gesture/DA_Greeting.DA_Greeting.Name","인사","Greeting","挨拶","问候","Saludo","Приветствие","Saudação","Gruß","Salutation","Powitanie","問候","Selamlama"
"Product./Game/Skin/Gesture/DA_Greeting.DA_Greeting.Description","다른 이를 반기거나 친근함을 표현하는 간단한 인사 동작입니다. 평화로운 만남과 유쾌한 순간에 어울립니다.","A simple greeting gesture used to welcome others or show friendly intent. Suitable for peaceful encounters and lighthearted moments.","相手を歓迎したり、親しみを示したりする簡単な挨拶。穏やかな出会いや楽しいひとときに合います。","用于欢迎他人或表达友善的简单问候动作，适合和平相遇与轻松时刻。","Un saludo sencillo para dar la bienvenida o mostrar amistad. Ideal para encuentros pacíficos y momentos distendidos.","Простой приветственный жест для встречи других и выражения дружелюбия. Подходит для мирных встреч и лёгких моментов.","Uma saudação simples para receber os outros ou mostrar amizade. Ideal para encontros pacíficos e momentos descontraídos.","Eine einfache Grußgeste, um andere willkommen zu heißen oder Freundlichkeit zu zeigen. Passend für friedliche und heitere Begegnungen.","Une salutation simple pour accueillir les autres ou montrer son amitié, idéale pour les rencontres paisibles et les moments légers.","Prosty gest powitania lub okazania przyjaźni. Pasuje do spokojnych spotkań i beztroskich chwil.","用於歡迎他人或表達友善的簡單問候動作，適合和平相遇與輕鬆時刻。","Başkalarını karşılamak veya dostluk göstermek için basit bir selamlama. Huzurlu karşılaşmalara ve neşeli anlara uygundur."
"Product./Game/Skin/Cosmetics/Shirt/DA_Shirt.DA_Shirt.Name","주황색 셔츠","Orange Shirt","オレンジのシャツ","橙色衬衫","Camisa naranja","Оранжевая рубашка","Camisa laranja","Oranges Hemd","Chemise orange","Pomarańczowa koszula","橙色襯衫","Turuncu gömlek"
"Product./Game/Skin/Cosmetics/Shirt/DA_Shirt.DA_Shirt.Description","밝고 생기 있는 느낌의 심플한 주황색 셔츠입니다. 활기찬 인상을 주는 캐주얼 의상입니다.","A simple orange shirt with a bright and lively appearance. A casual outfit piece with an energetic feel.","明るく元気な印象のシンプルなオレンジ色のシャツ。活発な雰囲気のカジュアルな服です。","明亮活泼的简约橙色衬衫，是充满活力的休闲服饰。","Una camisa naranja sencilla de aspecto vivo y alegre. Una prenda informal llena de energía.","Простая яркая оранжевая рубашка. Повседневная одежда с энергичным настроением.","Uma camisa laranja simples, de aparência viva e alegre. Uma peça casual com energia.","Ein schlichtes oranges Hemd mit heller, lebhafter Ausstrahlung. Lässige Kleidung voller Energie.","Une chemise orange simple, vive et lumineuse. Une tenue décontractée pleine d’énergie.","Prosta pomarańczowa koszula o jasnym, żywym wyglądzie. Swobodny strój pełen energii.","明亮活潑的簡約橙色襯衫，是充滿活力的休閒服飾。","Parlak ve canlı görünümlü sade bir turuncu gömlek. Enerjik his veren günlük bir kıyafet."
"Product./Game/Skin/Cosmetics/Jean/DA_Jean.DA_Jean.Name","청바지","Jean","ジーンズ","牛仔裤","Vaqueros","Джинсы","Calça jeans","Jeans","Jean","Dżinsy","牛仔褲","Kot pantolon"
